Error Type,Topic Guid,Message
Error,,Checking for list in tables in file: message:System.Collections.ArrayList
Error,,CHecking Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content in md file: message:System.Collections.ArrayList
Error,,Checking for missing tables headers in file: message:System.Collections.ArrayList
Error,,Running transform:ConceptualTransform.xslt on file: message:System.Collections.ArrayList
Error,,Running github process on file: message:System.Collections.ArrayList
Warning,0c5b05b3-b444-438c-8b22-100d87ade40b,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<a href="0c5b05b3-b444-438c-8b22-100d87ade40b.htm#__top">&lt; More Project helpWelcome to Project Web App! Project Web App- which is part of Microsoft Project Server 2013- is a robust Web application that you can use to do everything from analyzing portfolios and managing proposals- to entering time in a timesheet and updating task status. This article helps you Get oriented- Get working- and Get help.</a> in md file:0c5b05b3-b444-438c-8b22-100d87ade40b.md total found:0
Warning,0c5b05b3-b444-438c-8b22-100d87ade40b,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<a href="0c5b05b3-b444-438c-8b22-100d87ade40b.htm#__top">&lt; More Project helpWelcome to Project Web App! Project Web App- which is part of Microsoft Project Server 2013- is a robust Web application that you can use to do everything from analyzing portfolios and managing proposals- to entering time in a timesheet and updating task status. This article helps you Get oriented- Get working- and Get help.</a> in md file:0c5b05b3-b444-438c-8b22-100d87ade40b.md total found:0
Warning,0c5b05b3-b444-438c-8b22-100d87ade40b,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<a href="0c5b05b3-b444-438c-8b22-100d87ade40b.htm#__top">&lt; More Project helpWelcome to Project Web App! Project Web App- which is part of Microsoft Project Server 2013- is a robust Web application that you can use to do everything from analyzing portfolios and managing proposals- to entering time in a timesheet and updating task status. This article helps you Get oriented- Get working- and Get help.</a> in md file:0c5b05b3-b444-438c-8b22-100d87ade40b.md total found:0
Warning,12ba0ebd-c616-42e5-b9b6-cad570e8409c,Missing tables headers in file:12ba0ebd-c616-42e5-b9b6-cad570e8409c.md
Error,1329dd71-8a6c-467d-8802-ed6f8437a937,Checking for list in tables in file:1329dd71-8a6c-467d-8802-ed6f8437a937.xml message:System.Collections.ArrayList
Error,1329dd71-8a6c-467d-8802-ed6f8437a937,CHecking Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content in md file:1329dd71-8a6c-467d-8802-ed6f8437a937.md message:System.Collections.ArrayList
Error,1329dd71-8a6c-467d-8802-ed6f8437a937,Checking for missing tables headers in file:1329dd71-8a6c-467d-8802-ed6f8437a937.md message:System.Collections.ArrayList
Error,1329dd71-8a6c-467d-8802-ed6f8437a937,Running transform:ConceptualTransform.xslt on file:1329dd71-8a6c-467d-8802-ed6f8437a937.xml message:System.Collections.ArrayList
Error,1329dd71-8a6c-467d-8802-ed6f8437a937,Checking for nested tables in file:c:\dsbs\Builds\iw\1033\Content\Project_WebApp\Working\markdown\1329dd71-8a6c-467d-8802-ed6f8437a937.md message:System.Collections.ArrayList
Warning,15703ad4-08a9-40f3-9487-063a369e8f2b,Missing tables headers in file:15703ad4-08a9-40f3-9487-063a369e8f2b.md
Warning,15703ad4-08a9-40f3-9487-063a369e8f2b,Found nested table in md file:15703ad4-08a9-40f3-9487-063a369e8f2b.md
Warning,15703ad4-08a9-40f3-9487-063a369e8f2b,Fixing missing end table tag in file:15703ad4-08a9-40f3-9487-063a369e8f2b.md
Warning,15703ad4-08a9-40f3-9487-063a369e8f2b,Found invalid tables saving file:15703ad4-08a9-40f3-9487-063a369e8f2b.md
Warning,1a71840d-361d-462a-8314-432fc3ff052e,Missing tables headers in file:1a71840d-361d-462a-8314-432fc3ff052e.md
Warning,1cc24643-3042-4d7f-920f-611b4533dfb7,Found herf tag with an image in file:1cc24643-3042-4d7f-920f-611b4533dfb7.md total found:7
Warning,1cc24643-3042-4d7f-920f-611b4533dfb7,Missing tables headers in file:1cc24643-3042-4d7f-920f-611b4533dfb7.md
Warning,1cc24643-3042-4d7f-920f-611b4533dfb7,Fixing missing end table tag in file:1cc24643-3042-4d7f-920f-611b4533dfb7.md
Warning,1cc24643-3042-4d7f-920f-611b4533dfb7,Fixing missing end table tag in file:1cc24643-3042-4d7f-920f-611b4533dfb7.md
Warning,1cc24643-3042-4d7f-920f-611b4533dfb7,Fixing missing end table tag in file:1cc24643-3042-4d7f-920f-611b4533dfb7.md
Warning,1cc24643-3042-4d7f-920f-611b4533dfb7,Fixing missing end table tag in file:1cc24643-3042-4d7f-920f-611b4533dfb7.md
Warning,1cc24643-3042-4d7f-920f-611b4533dfb7,Found invalid tables saving file:1cc24643-3042-4d7f-920f-611b4533dfb7.md
Warning,2372c181-1c98-416a-9306-ac28f027334b,Found a an ul list inside a table in html file:2372c181-1c98-416a-9306-ac28f027334b.xml
